,,,,,,,,,,,,,,,,,,,,,,
100K_V1,,each results,,,,,,,,,,,,,,,final results,,,,,
,,5fold_1,,,5fold_2,,,5fold_3,,,5fold_4,,,5fold_5,,,P,,R,,F1,
,,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1,avg.,std.,avg.,std.,avg.,std.
EN-FR,LogMap,0.71896,0.67670,0.69719,0.71656,0.67719,0.69631,0.71786,0.67874,0.69775,0.71912,0.67714,0.69750,0.72033,0.67617,0.69755,0.719,0.001,0.677,0.001,0.697,0.001
,PARIS,0.85149,0.84343,0.84744,0.85164,0.84353,0.84757,0.85131,0.84344,0.84736,0.85138,0.84356,0.84745,0.85177,0.84373,0.84773,0.852,0.000,0.844,0.000,0.848,0.000
,OpenEA,0.63819,0.63819,0.63819,0.64151,0.64151,0.64151,0.64254,0.64254,0.64254,0.64457,0.64457,0.64457,0.63391,0.63391,0.63391,0.640,0.004,0.640,0.004,0.640,0.004
EN-DE,LogMap,0.82767,0.73193,0.77686,0.82671,0.73059,0.77568,0.82716,0.73140,0.77634,0.82942,0.73281,0.77813,0.82580,0.73200,0.77608,0.827,0.001,0.732,0.001,0.777,0.001
,PARIS,0.89017,0.88646,0.88831,0.89017,0.88621,0.88819,0.88998,0.88626,0.88812,0.89007,0.88623,0.88814,0.88992,0.88617,0.88804,0.890,0.000,0.886,0.000,0.888,0.000
,OpenEA,0.72441,0.72441,0.72441,0.72146,0.72146,0.72146,0.71936,0.71936,0.71936,0.72240,0.72240,0.72240,0.72274,0.72274,0.72274,0.722,0.002,0.722,0.002,0.722,0.002
D-W,LogMap,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,0.000
,PARIS,0.69190,0.64263,0.66636,0.69263,0.64316,0.66698,0.69219,0.64310,0.66674,0.69136,0.64220,0.66587,0.69233,0.64293,0.66672,0.692,0.000,0.643,0.000,0.667,0.000
,OpenEA,0.52439,0.52439,0.52439,0.51564,0.51564,0.51564,0.51023,0.51023,0.51023,0.51819,0.51819,0.51819,0.51166,0.51166,0.51166,0.516,0.006,0.516,0.006,0.516,0.006
D-Y,LogMap,0.88848,0.91481,0.90145,0.89078,0.91501,0.90274,0.88983,0.91386,0.90168,0.88757,0.91579,0.90146,0.88968,0.91337,0.90137,0.889,0.001,0.915,0.001,0.902,0.001
,PARIS,0.82288,0.83306,0.82794,0.82321,0.83326,0.82821,0.82336,0.83339,0.82834,0.82379,0.83390,0.82881,0.82308,0.83307,0.82804,0.823,0.000,0.833,0.000,0.828,0.000
,OpenEA,0.89860,0.89860,0.89860,0.89690,0.89690,0.89690,0.89514,0.89514,0.89514,0.89734,0.89734,0.89734,0.89717,0.89717,0.89717,0.897,0.001,0.897,0.001,0.897,0.001
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
100K_V2,,each results,,,,,,,,,,,,,,,final results,,,,,
