15K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-FR,MTransE,0.246,0.46667,0.56276,0.7341,252.523,0.35,0.23886,0.45257,0.54886,0.706,298.448,0.339,0.24781,0.47076,0.56524,0.73857,233.731,0.354,0.24676,0.47181,0.57029,0.74429,244.709,0.353,0.25448,0.474,0.57267,0.74476,230.309,0.358,0.24678,0.00556,0.46716,0.00858,0.56396,0.00931,0.73354,0.01601,251.944,27.455,0.351,0.007
,IPTransE,0.18857,0.35429,0.43695,0.58733,882.007,0.269,0.16133,0.3079,0.37152,0.49638,"1,220.44",0.232,0.1661,0.324,0.39257,0.53048,"1,079.09",0.243,0.154,0.28762,0.3519,0.49362,"1,174.45",0.22,0.17514,0.32838,0.39838,0.53667,995.634,0.25,0.16903,0.01335,0.32044,0.02478,0.39026,0.03191,0.5289,0.03801,"1,070.32",136.469,0.243,0.019
,JAPE,0.26667,0.49962,0.59495,0.76019,174.032,0.374,0.25867,0.4861,0.58667,0.75571,189.972,0.366,0.27124,0.51171,0.60676,0.77943,151.144,0.382,0.25676,0.48943,0.58762,0.76048,181.166,0.365,0.25914,0.49886,0.59733,0.77143,181.459,0.37,0.2625,0.00618,0.49714,0.01003,0.59467,0.00817,0.76545,0.00973,175.555,14.768,0.372,0.007
,KDCoE,0.58029,0.6821,0.72495,0.81457,201.178,0.63,0.574,0.67438,0.7139,0.80324,214.066,0.623,0.58124,0.67886,0.72048,0.81448,172.977,0.628,0.58295,0.6841,0.72638,0.81943,196.359,0.63,0.58438,0.67914,0.72171,0.80905,200.593,0.631,0.58057,0.004,0.67972,0.00369,0.72148,0.00486,0.81215,0.00619,197.035,14.993,0.628,0.003
,BootEA,0.50314,0.71029,0.78619,0.88819,246.902,0.597,0.50457,0.71524,0.792,0.89371,245.29,0.6,0.4939,0.70581,0.78076,0.88381,227.612,0.591,0.51914,0.73457,0.80895,0.90038,225.997,0.617,0.51448,0.72495,0.80133,0.90229,192.817,0.61,0.50705,0.00995,0.71817,0.0116,0.79385,0.01137,0.89368,0.00785,227.724,21.782,0.603,0.011
,GCN-Align,0.33457,0.57914,0.66971,0.78305,591.005,0.446,0.33638,0.58543,0.67743,0.78962,568.959,0.448,0.33981,0.60248,0.69648,0.80371,542.717,0.458,0.3401,0.5939,0.68752,0.796,549.22,0.454,0.33933,0.58429,0.66886,0.78124,559.207,0.449,0.33804,0.00244,0.58905,0.00919,0.68,0.01188,0.79072,0.00931,562.222,18.924,0.451,0.005
,AttrE,0.46905,0.66057,0.72152,0.8419,85.984,0.558,0.47362,0.66295,0.72695,0.84467,76.329,0.562,0.48914,0.67438,0.73686,0.85067,74.256,0.576,0.4819,0.67067,0.72943,0.84971,71.223,0.57,0.49276,0.68429,0.7441,0.85743,67.537,0.582,0.48129,0.01003,0.67057,0.0095,0.73177,0.00883,0.84888,0.00599,75.066,6.945,0.569,0.01
,IMUSE,0.57133,0.71495,0.77657,0.89,129.66,0.64,0.56638,0.714,0.77562,0.88152,144.782,0.636,0.55933,0.70533,0.76248,0.8719,154.153,0.627,0.57124,0.71895,0.77952,0.88962,136.305,0.64,0.57638,0.73162,0.79133,0.90114,120.882,0.649,0.56893,0.00643,0.71697,0.00958,0.7771,0.0103,0.88684,0.01088,137.156,12.931,0.638,0.008
,SEA,0.28133,0.52381,0.63019,0.80914,343.86,0.394,0.28638,0.54514,0.65924,0.83419,301.421,0.407,0.29352,0.55048,0.66295,0.83419,302.234,0.414,0.25562,0.48733,0.60124,0.78514,384.386,0.366,0.28486,0.54114,0.65457,0.82667,307.73,0.404,0.28034,0.01451,0.52958,0.02565,0.64164,0.02595,0.81787,0.02096,327.926,36.097,0.397,0.019
,RSN4EA,0.39543,0.59019,0.65924,0.78762,186.614,0.486,0.38314,0.57914,0.65343,0.78143,202.698,0.474,0.40229,0.61295,0.68314,0.81171,166.017,0.5,0.39029,0.59286,0.66171,0.79105,176.591,0.485,0.39533,0.5979,0.66771,0.79238,174.365,0.489,0.3933,0.0071,0.59461,0.01234,0.66505,0.01134,0.79284,0.01137,181.257,14.053,0.487,0.009
