isbn	author
0201853949	Knuth, Donald E.
0321335708	Knuth, Donald E.
0201853922	Knuth, Donald E.
0201853930	Knuth, Donald E.
0201361213	Sedgewick, Robert
0201775786	Robert Sedgewick
0201361205	Sedgewick, Robert
0201756080	Sedgewick, Robert
020172684X	Sedgewick, Robert
0201896842	Knuth, Donald E.
0201896850	Knuth, Donald E.
0201896834	Knuth, Donald E.
020140009X	Sedgewick, Robert; Flajolet, Philippe
020163208X	Binstock, Andrew; Rex, John
0201558025	Graham, Ronald L.
0201548569	Jaja, Joseph
0321204662	Negnevitsky, Michael
0321263189	Luger, George F.
0201648660	Luger, George F.
0805325476	Dean, Thomas
0201533774	Winston
0201539217	David M. Skapura
0201157675	Goldberg, David E.
0321486811	Alfred V. Aho , Columbia University Monica S. Lam , Stanford U
0321428900	Aho, Alfred V.; Sethi, Ravi; etc.
1576761053	Galles, David
0805327304	Michael Wolfe
0805321667	Charles Fischer, Richard LeBlanc
0201100886	Aho, Alfred V.; Ullman, Jeffrey D.; Sethi, Ravi
0201612534	John D. Carpinelli
0321112296	Rozanski, Nick
0201325713	Hofmeister, Christine
0321321375	Angel, Edward
0321237625	Angel, Edward
0201398559	Watt, Alan H.
0201309440	Hawash, Maher,
0201407094	Ron Fosner
0201848406	Foley, James D.; Van Dam, Andries; Feiner, Steven K.; Hughes, John F.
0201483599	Kilgard, Mark J.
0201609215	Foley, James D.
0321466756	Platt, David S.
0321321359	Lazar, Jonathan
0321116291	Benyon, David
0321197860	Shneiderman, Ben; Plaisant, Catherine
0321181433	Lauesen, Soren
0201758679	Bowman, Doug A.
0201704471	Carroll, John M.
0201379376	Raskin, Jef
0201483548	Lazzaro, Joseph J.
0201550601	Laurel, Brenda
0201608421	Tognazzini, Bruce
0201517973	Laurel, Brenda
0321399420	Date, C.J.; Darwen, Hugh
0321369572	Navathe, Shamkant B.; Elmasri, Ramez
0321268458	Not Available
0321294017	Connolly, Thomas M., Begg, Carolyn E.
0321228383	Kifer, M.; Bernstein, Arthur; Lewis, Philip M.
0321206746	Elmasri, Ramez
0321197844	Date, C.J.
0321194985	Sunderraman, Rajshekhar
0321185560	Riccardi, Greg
0201612941	C. J. Date
0321243625	Vaughn, William R.; Blackburn, Peter
0321245458	Schneider, Bob
0201715848	Lewis, Jonathan
0321321367	Kumar, Vipin; Steinbach, Michael; Tan, Pang-Ning
0321290933	Riordan, Rebecca M.
0201741288	Roiger, Richard J.; Geatz, Michael
0201773635	Earp, Richard
0321293533	Ambler, Scott; Sadalage, Pramodkumar
0321205618	Riordan, Rebecca M.
0672323435	Jeffrey P. McManus, Jackie Goldstein
0201752840	Hernandez, Michael J.
0321119045	Bagui &amp; Earp
0201752948	Palinski, John Adolph
0201741296	Mullins, Craig S.
0201713063	Michael H. Brackett ,
0201485559	Pascal, Fabian
0321397967	Raheem, Michael
0321397975	Woody, Buck
0321356985	Hancock, John C.; Toren, Roger
0321447743	Henderson, Ken
0321382188	Beauchemin, Bob
0321349792	Brown, Eric L.
0321287509	Henderson, Ken
0321268288	Blackburn, Peter; Vaughn, William R.
0321180593	Beauchemin, Bob
0201700476	Henderson, Ken
0201742039	Woody, Buck
0201700468	Henderson, Ken
0201657961	Daniel Appelquist
0201703092	Bowman, Judith S.; Emerson, Sandra L.; Darnovsky, Marcy
0201615762	Henderson, Ken
0201596180	Lans, Rick F. Van Der
0201433362	Hernandez, Michael J.
1576760820	Day
0321305965	Lans, Rick F.Van Der
0672321467	Edward Whalen, Mitchell Schroeter
0201325748	Morle, James
0201634457	Wendelken, David,
032143675X	Felke-Morris, Terry
0321304292	Scollard, Lafayette
1576761428	Golbeck, Jennifer
1576761150	Felke-Morris, Terry
0321129474	Lehnert, Wendy G.
0201737345	Lehnert, Wendy G.
0201357526	Andrews, Gregory R.
0131013769	Hughes, Cameron
0321303326	Sebesta, Robert W.
0201750767	Yuen, P.K.Lau, Vincent
1576760286	John Avila
1576760189	Lin, Forest
1576760243	Lin, Forest
0321321286	Barnett, Ryan C.
0321193121	Lie, Hakon Wium; Bos, Bert
0131498622	Holzner, Steven
0321146182	Monson-Haefel, Richard
0321194446	English, Bill
020177061X	Lee
0672323575	Paul D. Sheriff; Ken Getz
